,part_name,part_id,voice_id,instrument_name,metronome_mark,quarter_bpm,time_signature,scale,element_class_name,pitch_name,pitch_class,octave,velocity,quarter_length,offset
10013,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,100.0,1.0,0.0
10014,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,93.0,1.0,0.0
10015,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,96.0,1.0,0.0
10016,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,93.0,1.0,0.0
10017,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,94.0,1.0,0.0
10018,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,103.0,1.0,0.0
10019,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,97.0,1.0,0.0
10020,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,99.0,1.0,0.0
10021,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,97.0,1.0,0.0
10022,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,98.0,1.0,0.0
10023,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,95.0,1.0,0.0
10024,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,2.0,91.0,1.0,0.0
10025,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,D,2.0,4.0,93.0,1.0,0.0
10026,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,93.0,1.0,0.0
10027,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,B-,10.0,3.0,97.0,1.0,0.0
